,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),paper
96,Li28.0Nd10.0Si22.0N38.0O14.0F4.0,59,17.126,7.6155,10.123,90,90,90,1.70e-10,10.1021/ja302255d
97,Li40.0Ga8.0O32.0,61,9.173,9.094,9.202,90,90,90,5.00e-09,10.1016/0025-5408(76)90169-0
98,Li16.0Cr8.0Ti8.0P24.0O96.0,61,8.461,8.688,23.83,90,90,90,4.41e-07,10.1016/S0167-2738(96)00565-6
99,Li16.0Cr8.0Zr8.0P24.0O96.0,61,8.596,8.787,24.21,90,90,90,5.91e-07,10.1016/S0167-2738(96)00565-6
100,Li16.0Cr8.0Hf8.0P24.0O96.0,61,8.598,8.816,24.21,90,90,90,4.20e-08,10.1016/S0167-2738(96)00565-6
101,Li16.0Fe8.0Ti8.0P24.0O96.0,61,8.452,8.672,23.62,90,90,90,3.34e-07,10.1016/S0167-2738(96)00565-6
102,Li16.0Fe8.0Zr8.0P24.0O96.0,61,8.47,8.72,23.8,90,90,90,1.44e-07,10.1016/S0167-2738(96)00565-6
103,Li16.0In8.0Hf8.0P24.0O96.0,61,8.757,8.954,24.28,90,90,90,2.74e-08,10.1016/S0167-2738(96)00565-6
104,Li16.0In8.0Ti8.0P24.0O96.0,61,8.577,8.826,24.05,90,90,90,8.30e-06,10.1016/S0167-2738(96)00565-6
105,Li16.0In8.0Zr8.0P24.0O96.0,61,8.761,8.979,24.2,90,90,90,8.22e-08,10.1016/S0167-2738(96)00565-6
106,Li12.0P4.0S16.0,62,13.066,8.015,6.101,90,90,90,3.00e-07,10.1021/ja3110895
107,Li12.0P4.0O16.0,62,6.1113,10.4612,4.9208,90,90,90,4.20e-18,10.1134/1.1405880
108,Li13.0O16.0P3.0Si1.0,62,10.52587,6.11525,4.97031,90,90,90,4.49e-07,10.1021/jacs.5b04444
109,Li8.0Zn2.0P4.0O16.0,62,10.2974,6.5021,5.0011,90,90,90,1e-15,10.1021/acs.chemmater.7b05139.s006
110,Li7.0Zn1.0Ga1.0P4.0O16.0,62,10.08925,6.5108,4.935878,90,90,90,1e-15,10.1021/acs.chemmater.7b05139.s006
111,Li11.52P4.0O14.92N0.56,62,6.1153,10.469,4.9195,90,90,90,1.40e-13,10.1006/jssc.1995.1140
112,Li16.0Ge4.0S16.0,62,14.07,7.75,6.15,90,90,90,2.00e-07,10.1016/s0167-2738(00)00277-0
113,Li15.0Ge3.0V1.0O16.0,62,10.896,6.2516,5.1571,90,90,90,5.66e-06,10.1023/a:1026135806929
114,Li14.8Ge3.4W0.6O16.0,62,10.938,6.274,5.1609,90,90,90,3.80e-05,10.1023/a:1026135806929
115,Li0.8Ca1.6Ta4.0O12.0,62,5.477,7.75,5.479,90,90,90,3.53e-09,10.1016/j.solidstatesciences.2004.05.006
116,Li16.0Sn4.0Se16.0,62,14.931,8.2217,6.5989,90,90,90,2.00e-05,10.1021/cm400541n
117,Li16.0Sn4.0S16.0,62,13.812,7.9624,6.367,90,90,90,7.00e-05,10.1021/cm3011315
118,Li10.0Y2.0Zr2.0Cl24.0,62,12.0389,11.1664,6.4069,90,90,90,0.0014,10.1021/acsenergylett.9b02599
119,Sm2.08Li1.52Ti4.0O11.88,62,5.34,7.619,5.441,90,90,90,2.00e-07,10.1016/0167-2738(94)90310-7
120,Li12.0Cr4.0Mo12.0O48.0,62,5.0377,10.4091,17.6149,90,90,90,1e-15,10.1039/B301189e
121,Li8.0Mg8.0Mo12.0O48.0,62,5.1167,10.4646,17.6228,90,90,90,1e-15,10.1039/b301189e
122,Li12.0Fe4.0Mo12.0O48.0,62,5.0697,10.4333,17.6317,90,90,90,1e-15,10.1039/B301189e
123,Li16.0Si4.0S16.0,62,13.735,7.769,6.147,90,90,90,4.93e-08,10.1006/jssc.2002.9701
124,Li20.0Ge1.9Si0.1P4.0S24.0,137,8.7149,8.7149,12.599,90,90,90,0.0086,10.1016/j.jpowsour.2014.07.159
125,Li12.8Ge0.8P3.2O16.0,62,10.5562,6.1319,4.9769,90,90,90,1.14e-06,10.1021/acs.chemmater.8b01504
126,Li12.8Ge0.8V3.2O16.0,62,10.8685,6.2984,5.1017,90,90,90,1.90e-05,10.1021/acs.chemmater.8b01504
127,Li13.6Ge1.6P2.4O16.0,62,10.6305,6.1639,5.0266,90,90,90,4.50e-06,10.1021/acs.chemmater.8b01504
128,Li13.6Ge1.6V2.4O16.0,62,10.8697,6.2784,5.1181,90,90,90,8.89e-07,10.1021/acs.chemmater.8b01504
129,Li14.4Ge2.4P1.6O16.0,62,10.7284,6.1866,5.0882,90,90,90,1.10e-05,10.1021/acs.chemmater.8b01504
130,Li14.4Ge2.4V1.6O16.0,62,10.8786,6.26,5.1371,90,90,90,3.19e-05,10.1016/0025-5408(80)90249-4
131,Li15.2Ge3.2P0.8O16.0,62,10.8096,6.1767,5.1421,90,90,90,1.03e-06,10.1021/acs.chemmater.8b01504
132,Li15.2Ge3.2V0.8O16.0,62,10.8891,6.2315,5.1518,90,90,90,2.71e-06,10.1021/acs.chemmater.8b01504
133,Li12.0P1.6V2.4O16.0,62,10.7651,6.2647,4.9262,90,90,90,3.55e-13,10.1021/acs.chemmater.8b01504
134,Li12.0P2.4V1.6O16.0,62,10.6467,6.2052,4.9763,90,90,90,3.20e-13,10.1021/acs.chemmater.8b01504
135,Li12.0P3.2V0.8O16.0,62,10.554,6.1486,4.9492,90,90,90,2.05e-13,10.1021/acs.chemmater.8b01504
136,Li12.0P4.0O16.0,62,10.4772,6.1179,4.9297,90,90,90,1.75e-13,10.1134/1.1405880
137,Li16.0Ge4.0O16.0,63,7.7661,7.3645,6.0555,90,90,90,1.30e-12,10.1111/j.1151-2916.1976.tb10985.x
138,Li8.0Mg4.0Br16.0,65,7.771,11.04,7.735,90,90,90,7.80e-10,10.1002/chin.198639014
139,La4.56Li2.32Ti8.0O24.0,65,7.737,7.742,7.785,90,90,90,0.0016,10.1039/c7ta00196g
140,Li8.0Bi8.0O16.0,72,18.00548,5.18159,4.97144,90,90,90,3.80e-08,10.1016/j.ssi.2015.10.016
141,Li5.0Zn0.5P2.0S8.0,82,5.836,5.836,8.829,90,90,90,0.00084,10.1021/acs.chemmater.7b05108
142,Li2.0Zn2.0P2.0S8.0,82,5.738,5.738,8.914,90,90,90,5.40e-08,10.1021/acs.chemmater.7b05108.s001
143,Li4.0Zn1.0P2.0S8.0,82,5.795,5.795,8.834,90,90,90,0.00013,10.1021/acs.chemmater.7b05108.s001
144,Li3.0Zn1.5P2.0S8.0,82,5.764,5.764,8.843,90,90,90,1.65e-05,10.1021/acs.chemmater.7b05108.s001
145,Li2.0Ce2.0Mo4.0O16.0,88,5.2943,5.2943,11.6254,90,90,90,1.30e-08,10.1007/s12039-011-0068-5
146,Li2.0Ce1.0Pr1.0Mo4.0O16.0,88,5.284,5.284,11.5763,90,90,90,1.00e-09,10.1007/s12039-011-0068-5
147,Li2.0Ce1.0Sm1.0Mo4.0O16.0,88,5.2546,5.2546,11.5052,90,90,90,1.80e-10,10.1007/s12039-011-0068-5
148,Li6.0B2.0N4.0,94,4.6435,4.6435,5.2592,90,90,90,1.60e-10,10.1016/0022-4596(87)90135-6
149,Li0.66La1.12Ti1.98Al0.02O5.98F0.02,99,3.8701,3.8701,7.756,90,90,90,0.00098,10.1007/s11581-006-0011-9
150,Li0.66La1.12Ti1.96Al0.04O5.96F0.04,99,3.8697,3.8697,7.749,90,90,90,0.00106,10.1007/s11581-006-0011-9
151,Li0.66La1.12Ti1.94Al0.06O5.94F0.06,99,3.8692,3.8692,7.7434,90,90,90,0.000928,10.1007/s11581-006-0011-9
152,Li0.66La1.12Ti1.92Al0.08O5.92F0.08,99,3.8697,3.8697,7.744,90,90,90,0.000622,10.1007/s11581-006-0011-9
153,Li0.66La1.12Ti1.9Al0.1O5.9F0.1,99,3.8667,3.8667,7.739,90,90,90,0.000176,10.1007/s11581-006-0011-9
154,Li0.66La1.12Ti1.88Al0.12O5.88F0.12,99,3.8722,3.8722,7.73,90,90,90,0.000106,10.1007/s11581-006-0011-9
155,Li0.66La1.12Ti1.86Al0.14O5.86F0.14,99,3.8705,3.8705,7.7476,90,90,90,0.000645,10.1007/s11581-006-0011-9
156,Li0.66La1.12Ti1.84Al0.16O5.84F0.16,99,3.8695,3.8695,7.7437,90,90,90,0.000494,10.1007/s11581-006-0011-9
157,Li0.54La1.14Ti2.0O6.0,123,3.873,3.873,7.75,90,90,90,0.00034,10.1021/cm001207u
158,La1.13Li0.61Ti2.0O6.0,123,3.8727,3.8727,7.751,90,90,90,0.000957,10.1016/s0167-2738(00)00761-x
159,La1.0Li1.0Ti2.0O6.0,123,3.8688,3.86885,7.7462,90,90,90,0.000925,10.1016/s0167-2738(00)00761-x
160,La1.22Li0.36Ti2.0O6.0,123,3.8695,3.8695,7.778,90,90,90,0.000412,10.1039/c7ta00196g
161,La1.1Li0.72Ti2.0O6.0,123,3.868,3.868,7.751,90,90,90,0.000688,10.1016/s0167-2738(98)00070-8
162,La1.08Li0.78Ti2.0O6.0,123,3.867,3.867,7.748,90,90,90,0.000651,10.1016/s0167-2738(98)00070-8
163,La1.04Li0.9Ti2.0O6.0,123,3.8673,3.8673,7.739,90,90,90,0.000501,10.1016/s0167-2738(98)00070-8
164,La1.16Li0.54Ti2.0O6.0,123,3.87,3.87,7.773,90,90,90,0.000599,10.1016/s0167-2738(98)00070-8
165,La1.12Li0.66Ti2.0O6.0,123,3.8675,3.8675,7.758,90,90,90,0.000668,10.1016/s0167-2738(98)00070-8
166,La1.12Li0.66Ti2.0O6.0,123,3.89816,3.89816,7.8519,90,90,90,0.000165,10.1016/s0167-2738(98)00070-8
167,Nd0.5Li0.5Ta2.0O6.0,123,3.872,3.872,7.73,90,90,90,1.31e-08,10.1016/S0167-2738(98)00414-7
168,Sm0.5Li0.5Ta2.0O6.0,123,3.859,3.859,7.71,90,90,90,4.32e-10,10.1016/S0167-2738(98)00414-7
169,Li2.0La2.0Ti2.0O8.0,129,3.77,3.77,12.076,90,90,90,1e-15,10.4028/www.scientific.net/msf.321-324.965
170,Li2.0Nd2.0Ti2.0O8.0,129,3.7465,3.7465,11.895,90,90,90,1e-15,10.4028/www.scientific.net/msf.321-324.965
171,La2.6Li0.2Mg2.0W2.0O12.0,129,5.533,5.533,7.903,90,90,90,1.80e-07,10.1016/j.ssi.2004.05.010
172,La2.52Li0.44Mg2.0W2.0O12.0,129,5.534,5.534,7.903,90,90,90,6.80e-06,10.1016/j.ssi.2004.05.010
173,La2.48Li0.56Mg2.0W2.0O12.0,129,5.533,5.533,7.903,90,90,90,1.20e-05,10.1016/j.ssi.2004.05.010
174,Li8.0P2.0S8.0I2.0,129,8.48284,8.48284,5.93013,90,90,90,0.00012,10.1021/acs.chemmater.7b00013.s001
175,Li8.0P2.0S8.0I2.0,129,8.484,8.484,5.937,90,90,90,6.40e-05,10.1021/acs.chemmater.7b00013.s001
176,Li12.0Bi4.0O16.0,136,8.75298,8.75298,4.22469,90,90,90,4.10e-10,10.1016/j.ssi.2015.10.016
177,Li20.1Ge2.1P3.9S24.0,137,8.6944,8.6944,12.60025,90,90,90,0.0122,10.1039/c4ta05231e
178,Li20.4Ge2.4P3.6S24.0,137,8.7043,8.7043,12.616,90,90,90,0.0132,10.1039/c4ta05231e
179,Li21.0Ge3.0P3.0S24.0,137,8.7025,8.7025,12.6251,90,90,90,0.011,10.1039/c4ta05231e
180,Li20.0Ge2.0P4.0S24.0,137,8.719,8.719,12.639,90,90,90,0.0121,10.1021/acs.chemmater.8b00266
181,Li20.7Ge2.7P3.3S24.0,137,8.713023,8.713023,12.639695,90,90,90,0.0144,10.1039/c4ta05231e
182,Li20.7Si2.7P3.3S24.0,137,8.669578,8.669578,12.536058,90,90,90,0.00673,10.1039/c4fd00143e
183,Li20.85Si2.85P3.15S24.0,137,8.672,8.672,12.536,90,90,90,0.00527,10.1039/c4fd00143e
184,Li20.55Si2.55P3.45S24.0,137,8.653,8.653,12.51,90,90,90,0.00565,10.1039/C4FD00143E
185,Li20.4Si2.4P3.6S24.0,137,8.644,8.644,12.504,90,90,90,0.00421,10.1006/jssc.2002.9701
186,Li20.01Sn1.98P4.02S24.0,137,8.743,8.743,12.782,90,90,90,0.00373,10.1039/c4fd00143e
187,Li19.8Sn1.8P4.2S24.0,137,8.731,8.731,12.768,90,90,90,0.00365,10.1039/c4fd00143e
188,Li19.71Sn1.68P4.32S24.0,137,8.721,8.721,12.725,90,90,90,0.00436,10.1039/c4fd00143e
189,Li19.62Sn1.62P4.38S24.0,137,8.7405,8.7405,12.715,90,90,90,0.00496,10.1039/c4fd00143e
190,Li19.56Sn1.56P4.44S24.0,137,8.737,8.737,12.713,90,90,90,0.00453,10.1039/c4fd00143e
191,Li19.5Sn1.5P4.5S24.0,137,8.722,8.722,12.72,90,90,90,0.0036,10.1039/c4fd00143e
192,Li20.0Si2.0P4.0S24.0,137,8.6512,8.6512,12.5095,90,90,90,0.0023,10.1149/2.0501412jes
193,Li20.0Sn2.0P4.0S24.0,137,8.7057,8.7057,12.7389,90,90,90,0.007,10.1021/ja407393y
194,Li20.0Ge2.0P4.0S24.0,137,8.71121,8.71121,12.6078,90,90,90,0.0246,10.1021/acs.chemmater.8b00266
195,Li20.0Ge1.55Sn0.45P4.0S24.0,137,8.71859,8.71859,12.6514,90,90,90,0.0141,10.1021/acs.chemmater.8b00266
196,Li20.0Sn2.0P4.0S24.0,137,8.7057,8.7057,12.7389,90,90,90,0.00398,10.1021/ja407393y
197,Li20.0Ge0.83Sn1.17P4.0S24.0,137,8.72902,8.72902,12.7065,90,90,90,0.00743,10.1021/acs.chemmater.8b00266
198,Li19.62Sn1.62P4.38S24.0,137,8.73764,8.73764,12.7166,90,90,90,0.0055,10.1107/s2052520615022283
199,Li20.0Ge2.0P4.0S24.0,137,8.69407,8.69407,12.5994,90,90,90,0.012,10.1021/acs.chemmater.8b00266
200,Li21.0Sn0.6Si2.4P3.0S24.0,137,8.69204,8.69204,12.6166,90,90,90,0.00879,10.1021/acs.chemmater.7b00886.s001
201,Li20.4Sn0.48Si1.92P3.6S24.0,137,8.65173,8.65173,12.5349,90,90,90,0.00782,10.1021/acs.chemmater.7b00886.s001
202,Li20.7Sn0.54Si2.16P3.3S24.0,137,8.6782,8.6782,12.575,90,90,90,0.0108,10.1021/acs.chemmater.7b00886
203,Li20.7Sn0.54Si2.16P3.3S24.0,137,8.67822,8.67822,12.5744,90,90,90,0.011,10.1021/acs.chemmater.7b00886.s001
204,Li20.0Ge2.0P4.0S24.0,137,8.694,8.694,12.599,90,90,90,0.00143,10.1021/acs.chemmater.8b00266
205,Li19.6Ba0.2Ge2.0P4.0S24.0,137,8.716,8.716,12.728,90,90,90,0.000561,10.1016/j.ssi.2017.01.014
206,Li19.2Ba0.4Ge2.0P4.0S24.0,137,8.727,8.727,12.908,90,90,90,0.000572,10.1016/j.ssi.2017.01.014
