Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),Space group number,a,b,c,alpha,beta,gamma
Li4.8Si0.2Al0.8S4,2,Li9.6Si0.4Al1.6S8.0,2.29E-07,11,6.843,7.833,6.235,90,89.846,90
Li3InCl6,2,Li6.0In2.0Cl12.0,0.00204,12,6.432,11.093,6.398,90,109.8,90
Li2P2S6,2,Li4.0P4.0S12.0,7.80E-11,12,11.11569,7.00704,6.52514,90,125.5717,90
Li3(Mo8S8O8(OH)8(HWO5(H2O)))*(H2O)18,2,Li6.0Mo16.0S16.0O80.0H94.0W2.0,3.80E-07,12,20.6754,11.1509,14.5769,90,133.865,90
Li17Sb13S28,1,Li17.0Sb13.0S28.0,1.05E-09,12,12.7298,11.5837,9.2251,90,119.55,90
Li0.6[Li0.2Sn0.8S2],6,Li4.8Sn4.8S12.0,0.00012,12,19.217,3.6996,6.529,90,109.056,90
Li3YBr6,2,Li6.0Y2.0Br12.0,0.00192,12,6.9217,11.9096,6.9326,90,109.553,90
Li6Ge2O7,4,Li24.0Ge8.0O28.0,8.50E-07,14,8.071,5.304,14.223,90,92.9,90
LiAlCl4,4,Li4.0Al4.0Cl16.0,1.00E-06,14,7.004,6.503,12.996,90,93.3,90
LiYO2,4,Li4.0Y4.0O8.0,1.80E-08,14,6.12,6.185,6.21,90,118.8,90
LiGaBr4,4,Li4.0Ga4.0Br16.0,7.00E-06,14,13.696,6.854,7.416,90,93.14,90
LiBO2,4,Li4.0B4.0O8.0,1.00E-08,14,5.845,4.353,6.454,90,115.09,90
LiClC3H7NO,4,Li4.0Cl4.0C12.0H28.0N4.0O4.0,0.00016,14,5.839,6.39,15.961,90,98.826,90
(La0.9Sr0.1)LiO2,4,La3.6Sr0.4Li4.0O8.0,6.29E-10,14,5.8748,6.2152,5.8521,90,102.478,90
La(Li0.76Mg0.08)O2,4,La4.0Li3.04Mg0.32O8.0,7.27E-10,14,5.875,6.212,5.849,90,102.451,90
Li2.5V2(PO4)3,4,Li10.0V8.0P12.0O48.0,1.90E-07,14,8.45678,8.62076,11.89577,90,90.2366,90
Li3BN2,4,Li12.0B4.0N8.0,8.70E-08,14,5.1502,7.0824,6.7908,90,112.956,90
LiAlH4,4,Li4.0Al4.0H16.0,8.70E-09,14,4.8254,7.804,7.8968,90,112.268,90
LiVO3,8,Li8.0V8.0O24.0,2.05E-09,15,10.1597,8.4155,5.8843,90,110.505,90
Li6Zr2O7,4,Li24.0Zr8.0O28.0,5.20E-10,15,10.44,5.991,10.204,90,100.25,90
Li3AlF6,12,Li36.0Al12.0F72.0,5.00E-07,15,14.201,8.387,9.861,90,94.07,90
Li2ZrO3,4,Li8.0Zr4.0O12.0,6.10E-10,15,5.4163,9.0262,5.4156,90,112.615,90
Li2SnS3,8,Li16.0Sn8.0S24.0,1.50E-05,15,6.3964,11.0864,12.4048,90,99.867,90
LiBaP2O7,8,Li8.0Ba8.0P16.0O56.0,1.00E-10,15,7.147,12.283,14.016,90,90.49,90
Li3Na5(TiS4)2,4,Li12.0Na20.0Ti8.0S32.0,8.80E-06,15,17.5783,9.6404,12.0796,90,133.4047,90
LiTa2PO8,8,Li8.0Ta16.0P8.0O64.0,0.0016,15,9.715454,11.5358,10.69708,90,90.0355,90
Li3ErI6,4,Li12.0Er4.0I24.0,0.00039,15,7.413,12.836,14.2,90,100.01,90
Li3AlS3,8,Li24.0Al8.0S24.0,1.31E-08,15,14.31901,11.98037,6.627,90,116.9231,90
Li3PS4,2,Li6.0P2.0S8.0,2.60E-07,31,7.70829,6.53521,6.1365,90,90,90
Li3SbS4,2,Li6.0Sb2.0S8.0,4.80E-09,31,7.9645,6.8404,6.3774,90,90,90
Li3P0.2V0.8O4,2,Li6.0P0.4V1.6O8.0,1.31E-13,31,6.282,5.4021,4.9289,90,90,90
Li3VO4,2,Li6.0V2.0O8.0,9.20E-14,31,6.3278,5.4448,4.9467,90,90,90
LiGaO2,4,Li4.0Ga4.0O8.0,2.40E-14,33,5.402,6.372,5.007,90,90,90
Li3SbS3,4,Li12.0Sb4.0S12.0,1.00E-07,33,7.9671,6.7883,10.0912,90,90,90
Li6SiO4Cl2,4,Li24.0Si4.0O16.0Cl8.0,1.00E-10,33,10.5204,6.0756,9.953,90,90,90
LiSi2N3,4,Li4.0Si8.0N12.0,6.17E-08,36,9.186,5.302,4.776,90,90,90
Li2SiS3,4,Li8.0Si4.0S12.0,2.00E-06,36,6.735,11.664,5.926,90,90,90
LiGa2GeS6,8,Li8.0Ga16.0Ge8.0S48.0,3.80E-08,43,11.943,22.59,6.805,90,90,90
La0.64Li0.08TiO3,2,La1.28Li0.16Ti2.0O6.0,0.000335,47,3.8753,3.8638,7.7901,90,90,90
La0.62Li0.14TiO3,2,La1.24Li0.28Ti2.0O6.0,0.000442,47,3.8757,3.8655,7.7845,90,90,90
La0.595Li0.215TiO3,2,La1.19Li0.43Ti2.0O6.0,0.000853,47,3.8671,3.8654,7.7727,90,90,90
Li0.4Na0.1La0.5Nb2O6,1,Li0.4Na0.1La0.5Nb2.0O6.0,9.92E-06,47,3.903,3.904,7.854,90,90,90
Li0.3Na0.2La0.5Nb2O6,1,Li0.3Na0.2La0.5Nb2.0O6.0,1.11E-05,47,3.906,3.907,7.852,90,90,90
Li0.2Na0.3La0.5Nb2O6,1,Li0.2Na0.3La0.5Nb2.0O6.0,1.18E-05,47,3.915,3.912,7.861,90,90,90
Li0.1Na0.4La0.5Nb2O6,1,Li0.1Na0.4La0.5Nb2.0O6.0,1.21E-05,47,3.915,3.915,7.861,90,90,90
Li0.07Na0.43La0.5Nb2O6,1,Li0.07Na0.43La0.5Nb2.0O6.0,1.23E-05,47,3.923,3.9311,7.85,90,90,90
Li0.04Na0.46La0.5Nb2O6,1,Li0.04Na0.46La0.5Nb2.0O6.0,5.91E-06,47,3.918,3.923,7.86,90,90,90
Li0.02Na0.48La0.5Nb2O6,1,Li0.02Na0.48La0.5Nb2.0O6.0,3.99E-06,47,3.9167,3.9304,7.846,90,90,90
(Ag0.33Li0.67)0.27La0.57TiO3,2,Ag0.18Li0.36La1.14Ti2.0O6.0,0.0001,47,3.881,3.868,7.791,90,90,90
(Ag0.5Li0.5)0.27La0.57TiO3,2,Ag0.27Li0.27La1.14Ti2.0O6.0,2.30E-05,47,3.881,3.868,7.791,90,90,90
(Ag0.67Li0.33)0.27La0.57TiO3,2,Ag0.36Li0.18La1.14Ti2.0O6.0,2.00E-07,47,3.882,3.867,7.791,90,90,90
Pr0.56Li0.34TiO3.01,2,Pr1.12Li0.68Ti2.0O6.02,1.00E-06,47,3.8372,3.8372,7.701,90,90,90
Nd0.55Li0.34TiO3,2,Nd1.1Li0.68Ti2.0O6.0,8.00E-08,47,3.8204,3.823,7.679,90,90,90
Li5AlO4,8,Li40.0Al8.0O32.0,5.00E-10,61,9.08,8.94,9.13,90,90,90
Li14Nd5(Si11N19O5)O2F2,2,Li28.0Nd10.0Si22.0N38.0O14.0F4.0,1.70E-10,59,17.126,7.6155,10.123,90,90,90
Li5GaO4,8,Li40.0Ga8.0O32.0,5.00E-09,61,9.173,9.094,9.202,90,90,90
Li2CrTi(PO4)3,8,Li16.0Cr8.0Ti8.0P24.0O96.0,4.41E-07,61,8.461,8.688,23.83,90,90,90
Li2CrZr(PO4)3,8,Li16.0Cr8.0Zr8.0P24.0O96.0,5.91E-07,61,8.596,8.787,24.21,90,90,90
Li2CrHf(PO4)3,8,Li16.0Cr8.0Hf8.0P24.0O96.0,4.20E-08,61,8.598,8.816,24.21,90,90,90
Li2FeTi(PO4)3,8,Li16.0Fe8.0Ti8.0P24.0O96.0,3.34E-07,61,8.452,8.672,23.62,90,90,90
Li2FeZr(PO4)3,8,Li16.0Fe8.0Zr8.0P24.0O96.0,1.44E-07,61,8.47,8.72,23.8,90,90,90
Li2InHf(PO4)3,8,Li16.0In8.0Hf8.0P24.0O96.0,2.74E-08,61,8.757,8.954,24.28,90,90,90
Li2InTi(PO4)3,8,Li16.0In8.0Ti8.0P24.0O96.0,8.30E-06,61,8.577,8.826,24.05,90,90,90
Li2InZr(PO4)3,8,Li16.0In8.0Zr8.0P24.0O96.0,8.22E-08,61,8.761,8.979,24.2,90,90,90
Li3PS4,4,Li12.0P4.0S16.0,3.00E-07,62,13.066,8.015,6.101,90,90,90
Li3PO4,4,Li12.0P4.0O16.0,4.20E-18,62,6.1113,10.4612,4.9208,90,90,90
Li6.5O8P1.5Si0.5,2,Li13.0O16.0P3.0Si1.0,4.49E-07,62,10.52587,6.11525,4.97031,90,90,90
Li2.88PO3.73N0.14,4,Li11.52P4.0O14.92N0.56,1.40E-13,62,6.1153,10.469,4.9195,90,90,90
Li4GeS4,4,Li16.0Ge4.0S16.0,2.00E-07,62,14.07,7.75,6.15,90,90,90
Li3.75Ge0.75V0.25O4,4,Li15.0Ge3.0V1.0O16.0,5.66E-06,62,10.896,6.2516,5.1571,90,90,90
Li3.70Ge0.85W0.15O4,4,Li14.8Ge3.4W0.6O16.0,3.80E-05,62,10.938,6.274,5.1609,90,90,90
Li0.2Ca0.4TaO3,4,Li0.8Ca1.6Ta4.0O12.0,3.53E-09,62,5.477,7.75,5.479,90,90,90
Li4SnSe4,4,Li16.0Sn4.0Se16.0,2.00E-05,62,14.931,8.2217,6.5989,90,90,90
Li4SnS4,4,Li16.0Sn4.0S16.0,7.00E-05,62,13.812,7.9624,6.367,90,90,90
Li2.5Y0.5Zr0.5Cl6,4,Li10.0Y2.0Zr2.0Cl24.0,0.0014,62,12.0389,11.1664,6.4069,90,90,90
Sm0.52Li0.38TiO2.97,4,Sm2.08Li1.52Ti4.0O11.88,2.00E-07,62,5.34,7.619,5.441,90,90,90
Li4SiS4,4,Li16.0Si4.0S16.0,4.93E-08,62,13.735,7.769,6.147,90,90,90
Li10Ge0.95Si0.05P2S12,2,Li20.0Ge1.9Si0.1P4.0S24.0,0.0086,137,8.7149,8.7149,12.599,90,90,90
Li3.2Ge0.2P0.8O4,4,Li12.8Ge0.8P3.2O16.0,1.14E-06,62,10.5562,6.1319,4.9769,90,90,90
Li3.2Ge0.2V0.8O4,4,Li12.8Ge0.8V3.2O16.0,1.90E-05,62,10.8685,6.2984,5.1017,90,90,90
Li3.4Ge0.4P0.6O4,4,Li13.6Ge1.6P2.4O16.0,4.50E-06,62,10.6305,6.1639,5.0266,90,90,90
Li3.4Ge0.4V0.6O4,4,Li13.6Ge1.6V2.4O16.0,8.89E-07,62,10.8697,6.2784,5.1181,90,90,90
Li3.6Ge0.6P0.4O4,4,Li14.4Ge2.4P1.6O16.0,1.10E-05,62,10.7284,6.1866,5.0882,90,90,90
Li3.6Ge0.6V0.4O4,4,Li14.4Ge2.4V1.6O16.0,3.19E-05,62,10.8786,6.26,5.1371,90,90,90
Li3.8Ge0.8P0.2O4,4,Li15.2Ge3.2P0.8O16.0,1.03E-06,62,10.8096,6.1767,5.1421,90,90,90
Li3.8Ge0.8V0.2O4,4,Li15.2Ge3.2V0.8O16.0,2.71E-06,62,10.8891,6.2315,5.1518,90,90,90
Li3P0.4V0.6O4,4,Li12.0P1.6V2.4O16.0,3.55E-13,62,10.7651,6.2647,4.9262,90,90,90
Li3P0.6V0.4O4,4,Li12.0P2.4V1.6O16.0,3.20E-13,62,10.6467,6.2052,4.9763,90,90,90
Li3P0.8V0.2O4,4,Li12.0P3.2V0.8O16.0,2.05E-13,62,10.554,6.1486,4.9492,90,90,90
Li3PO4,4,Li12.0P4.0O16.0,1.75E-13,62,10.4772,6.1179,4.9297,90,90,90
Li4GeO4,4,Li16.0Ge4.0O16.0,1.30E-12,63,7.7661,7.3645,6.0555,90,90,90
Li2MgBr4,4,Li8.0Mg4.0Br16.0,7.80E-10,65,7.771,11.04,7.735,90,90,90
La0.57Li0.29TiO3,8,La4.56Li2.32Ti8.0O24.0,0.0016,65,7.737,7.742,7.785,90,90,90
LiBiO2,8,Li8.0Bi8.0O16.0,3.80E-08,72,18.00548,5.18159,4.97144,90,90,90
Li2.5Zn0.25PS4,2,Li5.0Zn0.5P2.0S8.0,0.00084,82,5.836,5.836,8.829,90,90,90
LiZnPS4,2,Li2.0Zn2.0P2.0S8.0,5.40E-08,82,5.738,5.738,8.914,90,90,90
Li2Zn0.5PS4,2,Li4.0Zn1.0P2.0S8.0,0.00013,82,5.795,5.795,8.834,90,90,90
Li1.5Zn0.75PS4,2,Li3.0Zn1.5P2.0S8.0,1.65E-05,82,5.764,5.764,8.843,90,90,90
(Li0.5Ce0.5)(MoO4),4,Li2.0Ce2.0Mo4.0O16.0,1.30E-08,88,5.2943,5.2943,11.6254,90,90,90
(Li0.5Ce0.25Pr0.25)(MoO4),4,Li2.0Ce1.0Pr1.0Mo4.0O16.0,1.00E-09,88,5.284,5.284,11.5763,90,90,90
(Li0.5Ce0.25Sm0.25)(MoO4),4,Li2.0Ce1.0Sm1.0Mo4.0O16.0,1.80E-10,88,5.2546,5.2546,11.5052,90,90,90
Li3BN2,2,Li6.0B2.0N4.0,1.60E-10,94,4.6435,4.6435,5.2592,90,90,90
Li0.33La0.56Ti0.99Al0.01O2.99F0.01,2,Li0.66La1.12Ti1.98Al0.02O5.98F0.02,0.00098,99,3.8701,3.8701,7.756,90,90,90
Li0.33La0.56Ti0.98Al0.02O2.98F0.02,2,Li0.66La1.12Ti1.96Al0.04O5.96F0.04,0.00106,99,3.8697,3.8697,7.749,90,90,90
Li0.33La0.56Ti0.97Al0.03O2.97F0.03,2,Li0.66La1.12Ti1.94Al0.06O5.94F0.06,0.000928,99,3.8692,3.8692,7.7434,90,90,90
Li0.33La0.56Ti0.96Al0.04O2.96F0.04,2,Li0.66La1.12Ti1.92Al0.08O5.92F0.08,0.000622,99,3.8697,3.8697,7.744,90,90,90
Li0.33La0.56Ti0.95Al0.05O2.95F0.05,2,Li0.66La1.12Ti1.9Al0.1O5.9F0.1,0.000176,99,3.8667,3.8667,7.739,90,90,90
Li0.33La0.56Ti0.94Al0.06O2.94F0.06,2,Li0.66La1.12Ti1.88Al0.12O5.88F0.12,0.000106,99,3.8722,3.8722,7.73,90,90,90
Li0.33La0.56Ti0.93Al0.07O2.93F0.07,2,Li0.66La1.12Ti1.86Al0.14O5.86F0.14,0.000645,99,3.8705,3.8705,7.7476,90,90,90
Li0.33La0.56Ti0.92Al0.08O2.92F0.08,2,Li0.66La1.12Ti1.84Al0.16O5.84F0.16,0.000494,99,3.8695,3.8695,7.7437,90,90,90
Li0.27La0.57TiO3,2,Li0.54La1.14Ti2.0O6.0,0.00034,123,3.873,3.873,7.75,90,90,90
La0.565Li0.305TiO3,2,La1.13Li0.61Ti2.0O6.0,0.000957,123,3.8727,3.8727,7.751,90,90,90
La0.5Li0.5TiO3,2,La1.0Li1.0Ti2.0O6.0,0.000925,123,3.8688,3.86885,7.7462,90,90,90
La0.61Li0.18TiO3,2,La1.22Li0.36Ti2.0O6.0,0.000412,123,3.8695,3.8695,7.778,90,90,90
La0.55Li0.36TiO3,2,La1.1Li0.72Ti2.0O6.0,0.000688,123,3.868,3.868,7.751,90,90,90
La0.54Li0.39TiO3,2,La1.08Li0.78Ti2.0O6.0,0.000651,123,3.867,3.867,7.748,90,90,90
La0.52Li0.45TiO3,2,La1.04Li0.9Ti2.0O6.0,0.000501,123,3.8673,3.8673,7.739,90,90,90
La0.58Li0.27TiO3,2,La1.16Li0.54Ti2.0O6.0,0.000599,123,3.87,3.87,7.773,90,90,90
La0.56Li0.33TiO3,2,La1.12Li0.66Ti2.0O6.0,0.000668,123,3.8675,3.8675,7.758,90,90,90
La0.56Li0.33TiO3,2,La1.12Li0.66Ti2.0O6.0,0.000165,123,3.89816,3.89816,7.8519,90,90,90
Nd0.25Li0.25TaO3,2,Nd0.5Li0.5Ta2.0O6.0,1.31E-08,123,3.872,3.872,7.73,90,90,90
Sm0.25Li0.25TaO3,2,Sm0.5Li0.5Ta2.0O6.0,4.32E-10,123,3.859,3.859,7.71,90,90,90
La0.65Li0.05(Mg0.5W0.5)O3,4,La2.6Li0.2Mg2.0W2.0O12.0,1.80E-07,129,5.533,5.533,7.903,90,90,90
La0.63Li0.11(Mg0.5W0.5)O3,4,La2.52Li0.44Mg2.0W2.0O12.0,6.80E-06,129,5.534,5.534,7.903,90,90,90
La0.62 Li0.14(Mg0.5W0.5)O3,4,La2.48Li0.56Mg2.0W2.0O12.0,1.20E-05,129,5.533,5.533,7.903,90,90,90
Li4PS4I,2,Li8.0P2.0S8.0I2.0,0.00012,129,8.48284,8.48284,5.93013,90,90,90
Li4PS4I,2,Li8.0P2.0S8.0I2.0,6.40E-05,129,8.484,8.484,5.937,90,90,90
Li3BiO4,4,Li12.0Bi4.0O16.0,4.10E-10,136,8.75298,8.75298,4.22469,90,90,90
Li10.05Ge1.05P1.95S12,2,Li20.1Ge2.1P3.9S24.0,0.0122,137,8.6944,8.6944,12.60025,90,90,90
Li10.2Ge1.2P1.8S12,2,Li20.4Ge2.4P3.6S24.0,0.0132,137,8.7043,8.7043,12.616,90,90,90
Li10.5Ge1.5P1.5S12,2,Li21.0Ge3.0P3.0S24.0,0.011,137,8.7025,8.7025,12.6251,90,90,90
Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.0121,137,8.719,8.719,12.639,90,90,90
Li10.35Ge1.35P1.65S12,2,Li20.7Ge2.7P3.3S24.0,0.0144,137,8.713023,8.713023,12.639695,90,90,90
Li3.45Si0.45P0.55S4,6,Li20.7Si2.7P3.3S24.0,0.00673,137,8.669578,8.669578,12.536058,90,90,90
Li3.475Si0.475P0.525S4,6,Li20.85Si2.85P3.15S24.0,0.00527,137,8.672,8.672,12.536,90,90,90
Li3.425Si0.425P0.575S4,6,Li20.55Si2.55P3.45S24.0,0.00565,137,8.653,8.653,12.51,90,90,90
Li3.4Si0.4P0.6S4,6,Li20.4Si2.4P3.6S24.0,0.00421,137,8.644,8.644,12.504,90,90,90
Li3.335Sn0.33P0.67S4,6,Li20.01Sn1.98P4.02S24.0,0.00373,137,8.743,8.743,12.782,90,90,90
Li3.3Sn0.3P0.7S4,6,Li19.8Sn1.8P4.2S24.0,0.00365,137,8.731,8.731,12.768,90,90,90
Li3.285Sn0.28P0.72S4,6,Li19.71Sn1.68P4.32S24.0,0.00436,137,8.721,8.721,12.725,90,90,90
Li3.27Sn0.27P0.73S4,6,Li19.62Sn1.62P4.38S24.0,0.00496,137,8.7405,8.7405,12.715,90,90,90
Li3.26Sn0.26P0.74S4,6,Li19.56Sn1.56P4.44S24.0,0.00453,137,8.737,8.737,12.713,90,90,90
Li3.25Sn0.25P0.75S4,6,Li19.5Sn1.5P4.5S24.0,0.0036,137,8.722,8.722,12.72,90,90,90
Li10SiP2S12,2,Li20.0Si2.0P4.0S24.0,0.0023,137,8.6512,8.6512,12.5095,90,90,90
Li10SnP2S12,2,Li20.0Sn2.0P4.0S24.0,0.007,137,8.7057,8.7057,12.7389,90,90,90
Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.0246,137,8.71121,8.71121,12.6078,90,90,90
Li10(Ge0.776Sn0.224)P2S12,2,Li20.0Ge1.55Sn0.45P4.0S24.0,0.0141,137,8.71859,8.71859,12.6514,90,90,90
Li10SnP2S12,2,Li20.0Sn2.0P4.0S24.0,0.00398,137,8.7057,8.7057,12.7389,90,90,90
Li10(Ge0.416Sn0.584)P2S12,2,Li20.0Ge0.83Sn1.17P4.0S24.0,0.00743,137,8.72902,8.72902,12.7065,90,90,90
Li9.81Sn0.81P2.19S12,2,Li19.62Sn1.62P4.38S24.0,0.0055,137,8.73764,8.73764,12.7166,90,90,90
Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.012,137,8.69407,8.69407,12.5994,90,90,90
Li10.5(Sn0.2Si0.8)1.5P1.5S12,2,Li21.0Sn0.6Si2.4P3.0S24.0,0.00879,137,8.69204,8.69204,12.6166,90,90,90
Li10.2(Sn0.2Si0.8)1.2P1.8S12,2,Li20.4Sn0.48Si1.92P3.6S24.0,0.00782,137,8.65173,8.65173,12.5349,90,90,90
Li10.35(Sn0.2Si0.8)1.35P1.65S12,2,Li20.7Sn0.54Si2.16P3.3S24.0,0.0108,137,8.6782,8.6782,12.575,90,90,90
Li10.35(Sn0.27Si1.08)P1.65S12,2,Li20.7Sn0.54Si2.16P3.3S24.0,0.011,137,8.67822,8.67822,12.5744,90,90,90
Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.00143,137,8.694,8.694,12.599,90,90,90
Li9.8Ba0.1GeP2S12,2,Li19.6Ba0.2Ge2.0P4.0S24.0,0.000561,137,8.716,8.716,12.728,90,90,90
Li9.6Ba0.2GeP2S12,2,Li19.2Ba0.4Ge2.0P4.0S24.0,0.000572,137,8.727,8.727,12.908,90,90,90
Li9.4Ba0.3GeP2S12,2,Li18.8Ba0.6Ge2.0P4.0S24.0,0.000707,137,8.734,8.734,13.005,90,90,90
Li9.2Ba0.4GeP2S12,2,Li18.4Ba0.8Ge2.0P4.0S24.0,0.000316,137,8.752,8.752,13.011,90,90,90
Li9Ba0.5GeP2S12,2,Li18.0Ba1.0Ge2.0P4.0S24.0,9.98E-05,137,8.77,8.77,13.053,90,90,90
Li9.6P3S12,2,Li19.2P6.0S24.0,0.0012,137,8.7144,8.7144,12.4677,90,90,90
Li7GePS8,2,Li14.0Ge2.0P2.0S16.0,0.007,137,8.718,8.718,12.66,90,90,90
Li9.54Si1.74P1.44S11.7Cl0.3,2,Li19.08Si3.48P2.88S23.4Cl0.6,0.025,137,8.709652,8.709652,12.56907,90,90,90
Li10.35Si1.35P1.65S12,2,Li20.7Si2.7P3.3S24.0,0.0065,137,8.68385,8.68385,12.55589,90,90,90
Li7La3Hf2O12,8,Li56.0La24.0Hf16.0O96.0,9.85E-07,142,13.106,13.106,12.63,90,90,90
Li7La3Zr2O12,8,Li56.0La24.0Zr16.0O96.0,1.63E-06,142,13.134,13.134,12.663,90,90,90
LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,0.000161,148,8.5112,8.5112,20.8479,90,90,120
Li1.2Ti1.8Al0.2(PO4)3,6,Li7.2Ti10.8Al1.2P18.0O72.0,0.00482,148,8.502,8.502,20.818,90,90,120
Li3AlH6,6,Li18.0Al6.0H36.0,1.40E-07,148,8.07117,8.07117,9.513,90,90,120
Li3.333Mg0.333P2S6,1,Li3.33Mg0.33P2.0S6.0,8.20E-08,162,6.0748,6.0748,6.5954,90,90,120
Li2.667Mg0.667P2S6,1,Li2.67Mg0.67P2.0S6.0,4.00E-06,162,6.0831,6.0831,6.5863,90,90,120
Li4P2S6,1,Li4.0P2.0S6.0,2.38E-07,162,6.075,6.075,6.595,90,90,120
Li4P2S6,1,Li4.0P2.0S6.0,1.60E-10,162,6.0773,6.0773,6.5985,90,90,120
Li3YCl6,3,Li9.0Y3.0Cl18.0,0.000539,164,11.2217,11.2217,6.05517,90,90,120
Li4.4Al0.4Ge0.6S4,2,Li8.8Al0.8Ge1.2S8.0,4.30E-05,164,7.9496,7.9496,6.1566,90,90,120
Li4.4Al0.4Sn0.6S4,2,Li8.8Al0.8Sn1.2S8.0,4.30E-06,164,8.0184,8.0184,6.2856,90,90,120
LiZr2(PO4)3,6,Li6.0Zr12.0P18.0O72.0,1.00E-09,167,8.847,8.847,22.24,90,90,120
